param_key,value,unit,label,rationale
demand_model_version,mapa_2025_v2,version,synthetic,"Versao do modelo de demanda. Viaja no cabecalho de demand_profile.json e no config do manifesto. TROCAR ESTE VALOR TROCA OS PEDIDOS POR TRAS DOS MESMOS IDS: e a quarta condicao nao-aditiva da Source, ao lado de seed, referencia e premissas. v2 acrescenta a propensao por coorte (idade x regiao) sobre a calibracao agregada da v1, que permanece intacta."
food_line_share,0.85,proportion,synthetic,"Fracao das linhas da cesta que sai do escopo alimentar. A UNICA premissa genuinamente arbitraria desta fase, e por isso mora aqui e nao numa constante do gerador. Nenhuma fonte deste repo mede a composicao alimentar/nao-alimentar de uma cesta online, e o MAPA nao mede drogaria. 0,85 reconhece que um pedido de supermercado online leva higiene e limpeza, sem deixar essa fatia dominar um terco das linhas como a escolha uniforme fazia (medido: 29,72% das unidades)."
benchmark_volume_coverage_pct,86.12,percent,derived,"Soma dos volume_share_pct das folhas pesaveis do MAPA. NAO e premissa: e a cobertura do proprio benchmark, e e ela que fixa quanto do escopo alimentar vai para grupos com alvo do MAPA (86,12%) e quanto vai para SIN_BENCHMARK (13,88%). Deriva-la do seed em vez de declarar um numero evita uma premissa nova. Conferida por teste."
unbenchmarked_allocation,assortment,rule,synthetic,"Como os grupos alimentares SEM alvo de volume do MAPA dividem entre si os 13,88% restantes: proporcional ao TAMANHO DO SORTIMENTO. E a regra que valia para tudo antes desta fase, agora confinada ao pedaco onde nao existe benchmark. Regra declarada, nao numero escolhido."
within_group_selection,uniform,rule,synthetic,"Escolha do produto DENTRO do grupo: uniforme. Nenhuma fonte deste repo mede giro por SKU, e ponderar produto inventaria uma distribuicao que ninguem mediu — a mesma proibicao que a Fase 1 aplicou a escolha do tramo."
volume_coverage_min,0.5,proportion,synthetic,"Fracao minima do sortimento de um grupo que precisa ser convertivel a kg ou litro para que o grupo receba ALVO DE VOLUME. Abaixo disto o alvo em kg seria calculado sobre uma amostra pequena e enviesada do proprio grupo, e o grupo passa a receber share de linhas. E o que impede HUEVOS, vendido em 'ud' e 'dz', de entrar por um peso por ovo que nenhuma fonte mede."
channel_reference_pct,2.2,percent,observed,"Participacao do comercio eletronico no volume total de alimentacao em 2025 (informe, secao 3). E o DENOMINADOR da inclinacao de canal: um grupo com share de e-commerce acima de 2,2 pesa mais na cesta online do que no consumo total."
channel_fresh_pct,1.1,percent,observed,"Participacao do e-commerce no volume de alimentacao FRESCA (informe, secao 3). Base grossa da inclinacao para os grupos frescos sem linha de canal propria."
channel_rest_pct,2.8,percent,observed,"Participacao do e-commerce no volume do RESTO DA ALIMENTACAO (informe, secao 3). Base grossa para os grupos nao frescos sem linha de canal propria."
cohort_dimensions,"age,region",rule,synthetic,"As DUAS dimensoes do perfil do cliente que o modelo usa, e a ordem em que compoem a chave da coorte. Sao as unicas em que um atributo observado do cliente coincide com um corte publicado do MAPA: idade (birth_year, do INE 31304) e comunidade autonoma (province_code, do Callejero). Ciclo de vida do lar e nivel socioeconomico ficam de fora porque o cliente nao tem composicao familiar nem renda, e atribui-las seria inventar o atributo."
cohort_independence,multiplicative,rule,synthetic,"Como os indices das duas dimensoes se combinam: produto. O informe publica as duas MARGINAIS e nunca o cruzamento idade x comunidade, entao independencia condicional e premissa declarada, nao medicao. Se um dia houver tabela cruzada, esta linha muda e o resto do modelo nao."
cohort_calibration,ipf,rule,synthetic,"Iterative proportional fitting sobre a matriz coorte x grupo, ate que a media ponderada pela distribuicao real de coortes ENTRE OS PEDIDOS reproduza os pesos agregados da v1. Sem isso o agregado sairia do alvo so porque a nossa piramide etaria nao e a do MAPA, e a calibracao da Fase 4 seria desfeita de lado. Com isso, esta fase muda a CONDICIONAL e deixa o agregado onde estava."
ipf_tolerance,0.000000001,proportion,synthetic,"Desvio maximo aceito entre o peso agregado reconstituido e o peso da v1, por grupo. Apertado de proposito: o IPF converge em poucas iteracoes e um limiar frouxo esconderia uma matriz que nao fecha."
ipf_max_iterations,200,iterations,synthetic,"Teto de iteracoes do IPF. Existe para que uma matriz patologica falhe rapido em vez de girar; a janela medida converge em menos de 20."
region_frequency_basis,per_capita_volume,rule,synthetic,"O que inclina a FREQUENCIA de pedido por armazem: o consumo per capita total em kg ou litro da comunidade autonoma (informe, secao 3). A escolha de manifestar a intensidade regional como frequencia, e nao como tamanho de cesta, e premissa: o informe da intensidade em kg por ano e NAO publica frequencia de compra domestica — 'actos de compra' so aparece no capitulo extradomestico."
region_frequency_normalization,served_regions,rule,synthetic,"O indice de frequencia e renormalizado sobre as comunidades SERVIDAS, e nao contra a media nacional de 577,32. A media nacional inclui regioes que nao atendemos: usa-la faria a contagem total de pedidos cair alguns por cento sem que isso significasse nada. Assim o total fica inalterado e a fase muda so a REPARTICAO entre armazens."
