l1,l2,l3,mapa_key,rationale
"Aceite, especias y salsas","Aceite, vinagre y sal",*,SIN_BENCHMARK,"Sal, bicarbonato, vinagre e aderecos nao tem share no informe."
"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva,ACEITES_OLIVA,O nivel 3 nao separa virgem de virgem extra; o agregado dos tres tipos e o nivel que o catalogo sustenta.
"Aceite, especias y salsas","Aceite, vinagre y sal",Otros aceites,ACEITE_GIRASOL,Girasol e o dominante em Otros aceites; o informe so publica share para oliva e girasol.
"Aceite, especias y salsas",Especias,*,SIN_BENCHMARK,O informe nao mede especiarias.
"Aceite, especias y salsas","Mayonesa, ketchup y mostaza",*,SIN_BENCHMARK,Molhos nao tem secao propria no informe.
"Aceite, especias y salsas",Otras salsas,*,SIN_BENCHMARK,Idem. Tomate frito fica aqui e nao em conserva de tomate por ser molho pronto.
Agua y refrescos,Agua,*,AGUA,Secao 4.4.3. Gaseosa aparece no nivel 3 de Agua no catalogo e segue com ela.
Agua y refrescos,Isotónico y energético,*,SIN_BENCHMARK,Secao 4.4.4 (gaseosas e refrescantes) nao tem tabela-cabecalho no informe.
Agua y refrescos,Refresco de cola,*,SIN_BENCHMARK,Secao 4.4.4 (gaseosas e refrescantes) nao tem tabela-cabecalho no informe.
Agua y refrescos,Refresco de naranja y de limón,*,SIN_BENCHMARK,Secao 4.4.4 (gaseosas e refrescantes) nao tem tabela-cabecalho no informe.
Agua y refrescos,Refresco de té y sin gas,*,SIN_BENCHMARK,Secao 4.4.4 (gaseosas e refrescantes) nao tem tabela-cabecalho no informe.
Agua y refrescos,Tónica y bitter,*,SIN_BENCHMARK,Secao 4.4.4 (gaseosas e refrescantes) nao tem tabela-cabecalho no informe.
Aperitivos,Aceitunas y encurtidos,*,SIN_BENCHMARK,"ACEITUNAS nao tem share de mercado publicado, so share por tipo dentro da categoria."
Aperitivos,Frutos secos y fruta desecada,*,FRUTOS_SECOS,Secao 4.11.
Aperitivos,Patatas fritas y snacks,*,SIN_BENCHMARK,Snacks nao tem secao no consumo domestico; aperitivos so aparecem no extradomestico.
"Arroz, legumbres y pasta",Arroz,*,ARROZ,Secao 4.3.
"Arroz, legumbres y pasta",Legumbres,*,LEGUMBRES,Secao 4.15.
"Arroz, legumbres y pasta",Pasta y fideos,*,PASTAS,Secao 4.19.
"Azúcar, caramelos y chocolate",Azúcar y edulcorante,*,SIN_BENCHMARK,Sem secao no informe.
"Azúcar, caramelos y chocolate",Chicles y caramelos,*,SIN_BENCHMARK,Sem secao no informe.
"Azúcar, caramelos y chocolate",Chocolate,*,CHOCOLATES_CACAOS,Secao 4.8.
"Azúcar, caramelos y chocolate",Golosinas,*,SIN_BENCHMARK,Sem secao no informe.
"Azúcar, caramelos y chocolate",Mermelada y miel,*,SIN_BENCHMARK,Mermelada e confitura nao tem secao propria.
"Azúcar, caramelos y chocolate",Mermelada y miel,Miel,MIEL,Secao 4.16. O nivel 3 separa mel de compota.
Bebé,Alimentación infantil,*,SIN_BENCHMARK,"Alimento, mas o informe nao itemiza alimentacao infantil."
Bebé,Biberón y chupete,*,NO_FOOD,Puericultura e higiene: fora do universo do MAPA.
Bebé,Higiene y cuidado,*,NO_FOOD,Puericultura e higiene: fora do universo do MAPA.
Bebé,Toallitas y pañales,*,NO_FOOD,Puericultura e higiene: fora do universo do MAPA.
Bodega,Cerveza,*,CERVEZA,Secao 4.4.2.
Bodega,Cerveza sin alcohol,*,CERVEZA,O informe nao separa cerveja sem alcool.
Bodega,Licores,*,BEBIDAS_ESPIRITUOSAS,Secao 4.4.5.
Bodega,Sidra y cava,*,SIN_BENCHMARK,"Sidras e cava aparecem so em prosa, sem share."
Bodega,Tinto de verano y sangría,*,SIN_BENCHMARK,Bebidas derivadas do vinho: prosa sem share.
Bodega,Vino blanco,*,VINO,Secao 4.4.1.
Bodega,Vino lambrusco y espumoso,*,VINO,Secao 4.4.1.
Bodega,Vino rosado,*,VINO,Secao 4.4.1.
Bodega,Vino tinto,*,VINO,Secao 4.4.1.
"Cacao, café e infusiones",Cacao soluble y chocolate a la taza,*,CHOCOLATES_CACAOS,Secao 4.8 cobre chocolates e cacaus.
"Cacao, café e infusiones",Café cápsula y monodosis,*,CAFES_INFUSIONES,Secao 4.6.
"Cacao, café e infusiones",Café molido y en grano,*,CAFES_INFUSIONES,Secao 4.6.
"Cacao, café e infusiones",Café soluble y otras bebidas,*,CAFES_INFUSIONES,Secao 4.6.
"Cacao, café e infusiones",Té e infusiones,*,CAFES_INFUSIONES,Secao 4.6.
Carne,Arreglos,*,CARNE_FRESCA_OTRAS,Residuo declarado de carne fresca: aparos e ossos nao cabem em nenhum dos cinco tipos.
Carne,Aves y pollo,*,CARNE_POLLO,Secao 4.7.3. Peru entra aqui: o informe nao o separa.
Carne,Carne congelada,*,SIN_BENCHMARK,O informe cita a evolucao da carne congelada mas nao publica share.
Carne,Cerdo,*,CARNE_CERDO,Secao 4.7.5.
Carne,Conejo y cordero,Conejo,CARNE_CONEJO,Secao 4.7.6. O nivel 3 separa o que o nivel 2 juntou.
Carne,Conejo y cordero,Cordero,CARNE_OVINO_CAPRINO,Secao 4.7.4.
Carne,Embutido,*,CARNE_TRANSFORMADA,Secao 4.7.7.
